pot#,Treatment_group,Green.waste.percent,Pine.bark.percent,Fresh_shoot_mass,Dry_shoot_mass
1,100_PB,0,100,169.9,11.55
2,100_PB,0,100,166.4,11.81
3,100_PB,0,100,174.9,11.35
4,75_PB.25_GW,25,75,192.3,12.4
5,75_PB.25_GW,25,75,192,11.77
6,75_PB.25_GW,25,75,178.3,11.98
7,50_PB.50_GW,50,50,99.5,6.04
8,50_PB.50_GW,50,50,108.9,6.14
9,50_PB.50_GW,50,50,111.5,6.66
10,25_PB.75_GW,75,25,118.4,7.26
11,25_PB.75_GW,75,25,117,7.28
12,25_PB.75_GW,75,25,124.8,6.89
13,100_GW,100,0,47.4,3.18
14,100_GW,100,0,39.8,2.75
15,100_GW,100,0,54.6,3.12
16,100_PB,0,100,126.5,7.06
17,100_PB,0,100,156,10.08
18,100_PB,0,100,154.5,9.1
19,75_PB.25_GW,25,75,143.8,8.47
20,75_PB.25_GW,25,75,136.8,7.6
21,75_PB.25_GW,25,75,180.2,9.99
22,50_PB.50_GW,50,50,157.1,8.94
23,50_PB.50_GW,50,50,121.4,7.39
24,50_PB.50_GW,50,50,118.6,7.48
25,25_PB.75_GW,75,25,115,6.46
26,25_PB.75_GW,75,25,112.3,6.75
27,25_PB.75_GW,75,25,100,5.89
28,100_GW,100,0,68.2,4.18
29,100_GW,100,0,74.8,4.67
30,100_GW,100,0,70.5,4.24
